Pcard Transactions Acceptor Name,Pcard Transactions Cc Acceptor Country,Pcard Transactions Credit (Yes / No),Pcard Transactions Declined (Yes / No),Pcard Transactions Processing Type,Pcard Transactions Transaction Risk Score,Pcard Transactions Card Presence,Pcard Transactions Cardholder Presence,Pcard Transactions Fraud (Yes / No)
DESIGNER EYES R,US,No,No,CHIP_FALLBACK,98,1,1,Yes
Xsolla Roblox,US,No,No,MANUAL,20,0,0,Yes
FlyNas,SA,No,No,MANUAL,38,0,0,Yes
THE HOME DEPOT,US,No,No,CHIP_FALLBACK,91,1,1,Yes
BEST BUY,US,No,No,MANUAL,20,0,0,Yes
PARC RESTAURANT,US,No,No,MANUAL,16,1,1,Yes
MARMONT STEAKHOUSE,US,No,No,MANUAL,33,1,0,Yes
WWW.BIGBUS.IT,IT,No,No,MANUAL,93,0,0,Yes
TARGET,US,No,No,CHIP_FALLBACK,92,1,1,Yes
PPCOMPUTERS,US,No,No,MANUAL,32,0,0,Yes
PIZZA HUT,US,No,No,MANUAL,12,0,0,Yes
SAMSCLUB,US,No,No,MANUAL,69,1,0,Yes
PARC RESTAURANT,US,No,No,MANUAL,22,1,1,Yes
HALFORDS ON LINE,GB,No,No,MANUAL,41,0,0,Yes
FATBURGER - CHERRY HILL M,US,No,No,CHIP_FALLBACK,93,1,1,Yes
SAMSCLUB,US,No,No,MANUAL,34,1,1,Yes
CUSTOM TEEZ SOLOMON POND,US,No,No,CHIP_FALLBACK,97,1,1,Yes
OBB OE,AT,No,No,MANUAL,58,0,0,Yes
STOP & SHOP,US,No,No,CHIP_FALLBACK,99,1,1,Yes
INTERNETBS.NET,GB,No,No,MANUAL,71,0,0,Yes
WAL-MART,US,No,No,MANUAL,99,1,0,Yes
FRONTELD,US,No,No,MANUAL,23,0,0,Yes
ISTORES.SK,SK,No,No,MANUAL,98,0,0,Yes
TARGET,US,No,No,CHIP_FALLBACK,98,1,1,Yes
BEST BUY,US,No,No,MANUAL,13,0,0,Yes
ONCLOUDSNINE,US,No,No,MANUAL,22,0,0,Yes
PARC RESTAURANT,US,No,No,MANUAL,19,1,1,Yes
TARGET,US,No,No,CHIP_FALLBACK,61,1,1,Yes
SAKS O FRANKLIN,US,No,No,CHIP_FALLBACK,75,1,1,Yes
BEST BUY,US,No,No,MANUAL,23,0,0,Yes
Ojooo AG,DE,No,No,MANUAL,65,0,0,Yes
RIEH'S FLORIST LLC,US,No,No,MANUAL,31,1,0,Yes
HOLLYWOOD HAIR,US,No,No,MANUAL,24,0,0,Yes
BEST BUY,US,No,No,MANUAL,18,0,0,Yes
EDDIE V'S,US,No,No,MANUAL,23,1,0,Yes
NORDSTROM,US,No,No,CHIP_FALLBACK,92,1,1,Yes
WM SUPERCENTER,US,No,No,MANUAL,88,1,0,Yes
APPLE.COM/US,US,No,No,MANUAL,16,0,0,Yes
WAL-MART,US,No,No,MANUAL,72,1,1,Yes
MIHOYO LIMITED,HK,No,No,MANUAL,40,0,0,Yes
PIZZA HUT,GB,No,No,MANUAL,63,0,0,Yes
"NETWORK FOR GOOD, INC.",US,No,No,MANUAL,12,0,0,Yes
AIR MALTA,GB,No,No,MANUAL,71,0,0,Yes
ALLSTATE    PAYMENT,US,No,No,MANUAL,12,0,0,Yes
KFC D,US,No,No,MANUAL,98,1,1,Yes
Egy Souk,EG,No,No,MANUAL,93,0,0,Yes
THEAA,GB,No,No,CARD_ON_FILE,50,0,0,Yes
WM SUPERCENTER,US,No,No,MANUAL,76,1,0,Yes
FIVE BELOW,US,No,No,CHIP_FALLBACK,91,1,1,Yes
FOOTACTION,US,No,No,CHIP_FALLBACK,40,1,1,Yes
WAL-MART,US,No,No,UNKNOWN,27,0,0,Yes
VERIZONTELESALE X,US,No,No,MANUAL,31,0,0,Yes
WALGREENS,US,No,No,CHIP_FALLBACK,75,1,1,Yes
EDDIE V'S,US,No,No,MANUAL,32,1,0,Yes
STOP & SHOP,US,No,No,CHIP_FALLBACK,98,1,1,Yes
PARC RESTAURANT,US,No,No,MANUAL,31,1,1,Yes
YouTube Music,US,No,No,MANUAL,13,0,0,Yes
MIHOYO LIMITED,HK,No,No,MANUAL,64,0,0,Yes
HUDSON SUPER LIQUOR,US,No,No,CHIP_FALLBACK,99,1,1,Yes
BEST BUY,US,No,No,MANUAL,25,0,0,Yes
BEST BUY MHT,US,No,No,MANUAL,13,0,0,Yes
BEST BUY MHT,US,No,No,MANUAL,23,0,0,Yes
BUDDAKAN,US,No,No,MANUAL,28,1,1,Yes
PILOT_,USA,No,No,MAGSTRIPE,35,1,1,Yes
MIHOYO LIMITED,HK,No,No,MANUAL,58,0,0,Yes
Amazon.comMJMT,US,No,No,MANUAL,18,0,0,Yes
EL VEZ,US,No,No,MANUAL,12,1,1,Yes
Egy Souk,EG,No,No,MANUAL,99,0,0,Yes
"DR. SEEDS, LLC",US,No,No,MANUAL,37,0,0,Yes
TARGET,US,No,No,CHIP_FALLBACK,90,1,1,Yes
MIHOYO LIMITED,HK,No,No,MANUAL,46,0,0,Yes
WM SUPERCENTER,US,No,No,MANUAL,84,1,0,Yes
FAWRY,EG,No,No,MANUAL,98,0,0,Yes
Amazon PrimeKFJ,US,No,No,MANUAL,1,0,0,Yes
OVERTIME BY DICKS,US,No,No,CHIP_FALLBACK,40,1,1,Yes
BEST BUY MHT,US,No,No,MANUAL,17,0,0,Yes
MACYS  SOLOMON POND,US,No,No,CHIP_FALLBACK,98,1,1,Yes
HALFORDS ON LINE,GB,No,No,MANUAL,36,0,0,Yes
METROPCS IVR,US,No,No,MANUAL,21,0,0,Yes
HOLLYWOOD HAIR,US,No,No,MANUAL,14,0,0,Yes
SOUTH CITY KITCHEN BUC,US,No,No,MANUAL,29,1,1,Yes
YARD HOUSE,US,No,No,MANUAL,33,1,0,Yes
SPY FLY COM,US,No,No,CARD_ON_FILE,23,0,0,Yes
FlyNas,SA,No,No,MANUAL,59,0,0,Yes
BUDDAKAN,US,No,No,MANUAL,16,1,1,Yes
FNAC.COM,FR,No,No,MANUAL,34,0,0,Yes
AAFAQ ISLAMIC FINANCE PSC,AE,No,No,MANUAL,86,0,0,Yes
BEST BUY MHT,US,No,No,MANUAL,21,0,0,Yes
FAWRY,EG,No,No,MANUAL,99,0,0,Yes
WAL-MART,US,No,No,MANUAL,55,1,1,Yes
DU (EITC),AE,No,No,MANUAL,94,0,0,Yes
Gifters Italia srl,IT,No,No,MANUAL,61,0,0,Yes
NORDSTROM,US,No,No,CHIP_FALLBACK,95,1,1,Yes
RIEH'S FLORIST LLC,US,No,No,MANUAL,24,1,0,Yes
TST THE STUFFED BAKED PO,US,No,No,MANUAL,81,1,0,Yes
FAMILY DOLLAR,US,No,No,CHIP_FALLBACK,99,1,1,Yes
DOORDASH,US,No,No,MANUAL,23,0,0,Yes
WALGREENS.COM,US,No,No,MANUAL,11,0,0,Yes
RUTH'S CHRIS STEAK HOU,US,No,No,MANUAL,31,1,1,Yes
YSIMandolin Merchant,US,No,No,UNKNOWN,17,0,0,Yes
MIHOYO LIMITED,HK,No,No,MANUAL,43,0,0,Yes
EL VEZ,US,No,No,MANUAL,34,1,1,Yes
MIHOYO LIMITED,HK,No,No,MANUAL,71,0,0,Yes
MEDIA MARKT,DE,No,No,MANUAL,54,0,0,Yes
FREE PEOPLE,US,No,No,CHIP_FALLBACK,80,1,1,Yes
ENDICIA POSTAGE (EMS),US,No,No,MANUAL,8,0,0,Yes
MONDIAL MIDDLE EAS,GB,No,No,MANUAL,43,0,0,Yes
HSAHSAROBOEXPERT.DEMELLE,DE,No,No,MANUAL,49,0,0,Yes
FRONTELD,US,No,No,MANUAL,28,0,0,Yes
Smart Media Ap,US,No,No,MANUAL,35,0,0,Yes
PREDOVIY.COM,US,No,No,MANUAL,26,0,0,Yes
BESTBUY,US,No,No,MANUAL,21,0,0,Yes
HINOMARU JIDOSHA,JP,No,No,MAGSTRIPE,26,1,1,Yes
WWW.BIGBUS.IT,IT,No,No,MANUAL,89,0,0,Yes
NAWSD.STORE,US,No,No,MANUAL,31,0,0,Yes
Emicool Plus Cooling C,AE,No,No,MANUAL,94,0,0,Yes
HOMEDEPOT.COM,US,No,No,MANUAL,14,0,0,Yes
HOMEGOODS,US,No,No,CHIP_FALLBACK,81,1,1,Yes
MIHOYO LIMITED,HK,No,No,MANUAL,82,0,0,Yes
SAMS CLUB,US,No,No,MANUAL,24,0,0,Yes
NORDSTROM,US,No,No,CHIP_FALLBACK,91,1,1,Yes
SQ ABC CAB/TRACE,US,No,No,MANUAL,65,1,0,Yes
PLAYSTATION NETWORK,US,No,No,UNKNOWN,35,0,0,Yes
MIHOYO LIMITED,HK,No,No,MANUAL,77,0,0,Yes
ASOSCOMLTD,GB,No,No,CARD_ON_FILE,19,0,0,Yes
JR EAST,JP,No,No,MAGSTRIPE,99,1,1,Yes
MIHOYO LIMITED,HK,No,No,MANUAL,52,0,0,Yes
PAPA JOHN'S,US,No,No,MANUAL,3,0,0,Yes
COSTCO ONLINE RX,US,No,No,MANUAL,2,0,0,Yes
MIHOYO LIMITED,HK,No,No,MANUAL,53,0,0,Yes
COLISEXPAT,FR,No,No,MANUAL,57,0,0,Yes
MSY A SCOREBOARD T-B,US,No,No,MANUAL,92,1,0,Yes
PARC RESTAURANT,US,No,No,MANUAL,9,1,1,Yes
HSAHSAROBOEXPERT.DEMELLE,DE,No,No,MANUAL,59,0,0,Yes
BEST BUY,US,No,No,MANUAL,16,0,0,Yes
MIHOYO LIMITED,HK,No,No,MANUAL,54,0,0,Yes
SHAWS,US,No,No,CHIP_FALLBACK,98,1,1,Yes
SP  BURGER MOTORSPORT,US,No,No,MANUAL,11,0,0,Yes
IMPORT IMAGE RACING,US,No,No,MANUAL,32,1,0,Yes
THE COPPER CLOSET - ORLAN,US,No,No,CHIP_FALLBACK,89,1,1,Yes
AMZN Mktp USQSWNX,US,No,No,MANUAL,1,0,0,Yes
AAFAQ ISLAMIC FINANCE PSC,AE,No,No,MANUAL,94,0,0,Yes
WAL-MART,US,No,No,MANUAL,95,1,0,Yes
WAL-MART,US,No,No,MANUAL,91,1,1,Yes
WAL-MART,US,No,No,MANUAL,75,1,1,Yes
MIHOYO LIMITED,HK,No,No,MANUAL,47,0,0,Yes
FRONTELD,US,No,No,MANUAL,27,0,0,Yes
POWER EQUIP DIRECT,US,No,No,,,,,Yes
WAL-MART,US,No,No,,,,,Yes
ONETWOTRIP P,GB,No,No,MANUAL,58,0,0,Yes
WAL-MART,US,No,No,MANUAL,80,1,0,Yes
MAISON ST. CHARLES HOTEL,US,No,No,MANUAL,25,1,1,Yes
DICKS SPORTING GOODS,US,No,No,CHIP_FALLBACK,95,1,1,Yes
WAL-MART,US,No,No,MANUAL,60,1,0,Yes
NORDSTROM,US,No,No,CHIP_FALLBACK,98,1,1,Yes
"BT WAITR, INC.CFXR",US,No,No,UNKNOWN,25,0,0,Yes
URBAN OUTFITTERS,US,No,No,CHIP_FALLBACK,82,1,1,Yes
BEST BUY MHT,US,No,No,MANUAL,30,0,0,Yes
MIHOYO LIMITED,HK,No,No,MANUAL,57,0,0,Yes
BEST BUY MHT,US,No,No,MANUAL,29,0,0,Yes
FTD.COM,US,No,No,UNKNOWN,15,0,0,Yes
AB MOVING,US,No,No,MANUAL,23,0,0,Yes
TONGTAKEJIY,HK,No,No,UNKNOWN,21,0,0,Yes
LULULEMON WALNUT ST,US,No,No,CHIP_FALLBACK,67,1,1,Yes
BEST BUY,US,No,No,MANUAL,27,0,0,Yes
ROSS STORES,US,No,No,CHIP_FALLBACK,70,1,1,Yes
Emicool Plus Cooling C,AE,No,No,MANUAL,96,0,0,Yes
MACYS  SOLOMON POND,US,No,No,CHIP_FALLBACK,88,1,1,Yes
MARSHALLS,US,No,No,CHIP_FALLBACK,81,1,1,Yes
DOMINO'S,US,No,No,MANUAL,62,0,0,Yes
EDDIE V'S,US,No,No,MANUAL,29,1,0,Yes
FOOTACTION,US,No,No,CHIP_FALLBACK,66,1,1,Yes
JCPENNEY,US,No,No,CHIP_FALLBACK,95,1,1,Yes
TOKYU DEPARTMENT STORE,JP,No,No,MAGSTRIPE,99,1,1,Yes
BIG PINK RESTAURANT,US,No,No,CHIP_FALLBACK,35,1,1,Yes
WINGATE BY WYNDHAM,US,No,No,MANUAL,30,1,1,Yes
ETSGRE Exam,US,No,No,MANUAL,61,0,0,Yes
ROSS STORES,US,No,No,CHIP_FALLBACK,59,1,1,Yes
GAELSONG,US,No,No,MANUAL,17,0,0,Yes
Emicool Plus Cooling C,AE,No,No,MANUAL,97,0,0,Yes
HAKKUDORAGGU ISHIKAWACHOT,JP,No,No,MAGSTRIPE,99,1,1,Yes
FlyNas,SA,No,No,MANUAL,76,0,0,Yes
NORDSTROM,US,No,No,CHIP_FALLBACK,94,1,1,Yes
TJMAXX,US,No,No,CHIP_FALLBACK,32,1,1,Yes
SWA INFLIGHT WIFI,US,No,No,MANUAL,10,0,0,Yes
DU (EITC),AE,No,No,MANUAL,98,0,0,Yes
MICROSOFTOFFICE  HOME,US,No,No,MANUAL,34,0,0,Yes
BOOST MOBILE,US,No,No,MANUAL,32,0,0,Yes
I-DRIVE LIQUORS,US,No,No,CHIP_FALLBACK,83,1,1,Yes
RUTH'S CHRIS STEAK HOU,US,No,No,MANUAL,21,1,1,Yes
WM SUPERCENTER,US,No,No,MANUAL,80,1,0,Yes
WAL-MART,US,No,No,MANUAL,87,1,0,Yes
FRETTE,IT,No,No,MANUAL,63,0,0,Yes
BEST BUY,US,No,No,MANUAL,28,0,0,Yes
PBCSSUPPORTONLINE-.COM,US,No,No,MANUAL,15,0,0,Yes
EDDIE V'S,US,No,No,MANUAL,31,1,0,Yes
EL VEZ,US,No,No,MANUAL,27,1,1,Yes
ETSCTF TOEFL iBT Test,US,No,No,MANUAL,86,0,0,Yes
MIHOYO LIMITED,HK,No,No,MANUAL,78,0,0,Yes
FAMILYMART,JP,No,No,MAGSTRIPE,99,1,1,Yes
STOP & SHOP,US,No,No,CHIP_FALLBACK,81,1,1,Yes
WAL-MART,US,No,No,MANUAL,76,1,0,Yes
FAMILYMART,JP,No,No,MAGSTRIPE,45,1,1,Yes
HOLLYWOOD HAIR,US,No,No,MANUAL,13,0,0,Yes
Gifters Italia srl,IT,No,No,MANUAL,49,0,0,Yes
RCROMANCRES,US,No,No,UNKNOWN,16,0,0,Yes
MIHOYO LIMITED,HK,No,No,MANUAL,56,0,0,Yes
FlyNas,SA,No,No,MANUAL,62,0,0,Yes
FAMILYMART,JP,No,No,MAGSTRIPE,21,1,1,Yes
PINK COCONUT BOUTIQUE,US,No,No,MANUAL,19,0,0,Yes
BUDDAKAN,US,No,No,MANUAL,33,1,1,Yes
EL VEZ,US,No,No,MANUAL,21,1,1,Yes
OVERTIME BY DICKS,US,No,No,CHIP_FALLBACK,59,1,1,Yes
Rebtel,LU,No,No,MANUAL,42,0,0,Yes
HINOMARU JIDOSHA,JP,No,No,MAGSTRIPE,25,1,1,Yes
AAFAQ ISLAMIC FINANCE PSC,AE,No,No,MANUAL,95,0,0,Yes
BEAU RIVAGE TERRACE CAFE,US,No,No,MANUAL,74,1,1,Yes
BEST BUY,US,No,No,MANUAL,12,0,0,Yes
ETSGRE Exam,US,No,No,MANUAL,64,0,0,Yes
FlyNas,SA,No,No,MANUAL,72,0,0,Yes
SOLGAR,US,No,No,MANUAL,13,0,0,No
TARGET,US,No,No,CHIP,14,1,1,No
Amazon.comSXF,US,No,No,MANUAL,2,0,0,No
SAMSCLUB.COM,US,No,No,MANUAL,17,0,0,No
WAL-MART,US,No,No,MANUAL,32,0,0,No
AMZN Mktp USISD,US,No,No,MANUAL,3,0,0,No
STARBUCKS STORE,US,No,No,CHIP,23,1,1,No
BLUDLPHN.comRewardSurvey,US,No,No,MANUAL,1,0,0,No
LOGISTICS SUPPLY CORPORAT,US,No,No,UNKNOWN,5,0,0,No
PODS OF CHATTANOOGA,US,No,No,MANUAL,2,0,0,No
PIROSHKY PIROSHKY,US,No,No,CHIP,22,1,1,No
AMAZON.COMMHWRX AMZN,US,No,No,MANUAL,8,0,0,No
WALGREENS.COM,US,No,No,MANUAL,10,0,0,No
BAJA DESIGNS,US,No,No,MANUAL,11,0,0,No
WWW.ESALER UNIQUE LOO,US,Yes,No,,,,,No
aliexpress,US,No,No,MANUAL,1,0,0,No
WAL-MART,US,No,No,CHIP,23,1,1,No
CHICK-FIL-A,US,No,No,CHIP,1,1,1,No
WWW.WHOLESHABANG.COM,US,No,No,MANUAL,4,0,0,No
SEAWIDE MARINE DISTRIBUTI,US,No,No,MANUAL,2,0,0,No
SAMSCLUB.COM,US,No,No,MANUAL,11,0,0,No
WAL-MART,US,No,No,MANUAL,9,0,0,No
ZORO TOOLS INC,US,No,No,MANUAL,11,0,0,No
S. PEREZ MARBLE & STON,US,No,No,MANUAL,22,1,0,No
PUBLIX,US,No,No,CHIP,3,0,0,No
CROSSROADS COMMUNITY C,US,No,No,MANUAL,7,0,0,No
WALGREENS,US,No,No,CHIP,30,1,1,No
Dick'sSportingGoods.com,US,No,No,CARD_ON_FILE,7,0,0,No
BED BATH & BEYOND,US,No,No,MANUAL,8,0,0,No
TARGET,US,No,No,CHIP,30,1,1,No
INTEX RECREATION CORP,US,No,No,MANUAL,11,0,0,No
VCIVITACOST.COM,US,No,No,MANUAL,17,0,0,No
WAL-MART,US,No,No,CARD_ON_FILE,21,0,0,No
WENDYS -NORF,US,No,No,CHIP,12,1,1,No
Amazon.comMKS,US,No,No,MANUAL,4,0,0,No
TROPICAL SMOOTHIE CAFE MI,US,No,No,MAGSTRIPE,33,1,1,No
FULLCIRCLEF,US,No,No,MANUAL,1,0,0,No
Amazon.comMG,US,No,No,MANUAL,1,0,0,No
TARGET.COM,US,No,No,MANUAL,3,0,0,No
SEPHORA.COM,US,No,No,UNKNOWN,2,0,0,No
BARNEY'S INTERNET,US,No,No,MANUAL,30,0,0,No
TARGET.COM,US,No,No,CARD_ON_FILE,3,0,0,No
VCIVITACOST.COM,US,No,No,MANUAL,30,0,0,No
OFFICE DEPOT,US,No,No,UNKNOWN,23,0,0,No
ZEVO,US,No,No,MANUAL,4,0,0,No
HUANGZIBIN EBAY H,US,No,No,UNKNOWN,3,0,0,No
CENTRAL VIRGINIA OUT,US,No,No,CHIP,16,1,1,No
BUY BUY BABY,US,No,No,CHIP,21,1,1,No
POPCULTCHA,AU,No,No,MANUAL,23,0,0,No
KSOMERVILLE,US,Yes,No,,,,,No
FACEBOOKPAY,US,No,No,UNKNOWN,13,0,0,No
WAL-MART,US,No,No,MANUAL,30,0,0,No
THE WEBSTAURANT STORE,US,No,No,MANUAL,14,0,0,No
ACE HARDWARE CORPORATION,US,No,No,MANUAL,3,0,0,No
WAWA,US,No,No,CHIP,26,1,1,No
USPS,US,No,No,MANUAL,16,0,0,No
BPGAS MART,US,No,No,CHIP,12,1,1,No
AMAZON.COMMAPKZ AMZN,US,No,No,MANUAL,2,0,0,No
BED BATH & BEYOND,US,No,No,CHIP,22,1,1,No
AMZN Mktp USYHE,US,No,No,MANUAL,1,0,0,No
THE WEBSTAURANT STORE,US,No,No,MANUAL,2,0,0,No
BESTBUY COM,US,Yes,No,,,,,No
WAL-MART,US,No,No,UNKNOWN,9,0,0,No
READYREFRESH BY NESTLE,US,No,No,CARD_ON_FILE,19,0,0,No
SALLYBEAUTY,US,No,No,CARD_ON_FILE,10,0,0,No
ZOO PRINTING,US,No,No,MANUAL,1,0,0,No
MSWEAVER EBAY,US,No,No,UNKNOWN,7,0,0,No
TOMMYGABLE EBAY T,US,No,No,MANUAL,9,0,0,No
,US,Yes,No,,,,,No
RITE AID,US,No,No,CHIP,29,1,1,No
SAMSCLUB.COM,US,No,No,MANUAL,7,0,0,No
PICO LURES,US,No,No,MANUAL,1,0,0,No
WAL-MART,US,No,No,MANUAL,55,0,0,No
WAL-MART,US,No,No,UNKNOWN,23,0,0,No
MEIJER INC     Q,US,No,No,CHIP,69,1,1,No
AMAZON.COMYJIT AMZN,US,No,No,MANUAL,1,0,0,No
VCIVITACOST.COM,US,No,No,MANUAL,4,0,0,No
WAL-MART,US,No,No,CARD_ON_FILE,2,0,0,No
TULA.COM,US,No,No,MANUAL,20,0,0,No
STAMPS.COM  USPOSTAGE,US,No,No,MANUAL,1,0,0,No
INDOHELLO,US,No,No,MANUAL,1,0,0,No
OFFICE DEPOT,US,No,No,UNKNOWN,16,0,0,No
ALBEE BABY CARRIAGE E,US,No,No,MANUAL,7,0,0,No
HARBORFREI  TOOLS,US,No,No,MANUAL,4,0,0,No
WEBGILITY INC.,US,No,No,CARD_ON_FILE,4,0,0,No
SAMSCLUB.COM,US,No,No,MANUAL,18,0,0,No
WALGREEN CO,US,No,No,CARD_ON_FILE,4,0,0,No
MOHSANTOPPA,US,No,No,MANUAL,24,0,0,No
AMZN MKTP USMZGR AM,US,No,No,MANUAL,1,0,0,No
CIRCLE K,US,No,No,CHIP,6,1,1,No
CODYGROVE EBAY,US,No,No,UNKNOWN,25,0,0,No
WM SUPERCENTER,US,No,No,CHIP,31,1,1,No
ZORO TOOLS INC,US,No,No,MANUAL,1,0,0,No
DOMYOWN.COM,US,No,No,UNKNOWN,2,0,0,No
WAL-MART,US,No,No,UNKNOWN,1,0,0,No
OFFICE DEPOT,US,No,No,UNKNOWN,15,0,0,No
VCIVITACOST.COM,US,No,No,MANUAL,9,0,0,No
AMAZON.COMGGN AMZN,US,No,No,MANUAL,1,0,0,No
UNIQUE LOO UNIQUE LOO,US,Yes,No,,,,,No
GNC,US,No,No,CHIP,10,1,1,No
AMZN Mktp USQKOPA,US,No,No,MANUAL,5,0,0,No
WAL-MART,US,No,No,UNKNOWN,21,0,0,No
RUTTER'S FARM STRE,US,No,No,CHIP,29,1,1,No
LOWES,US,No,No,MANUAL,9,0,0,No
SKINCARE MARKET INC,US,No,No,MANUAL,30,0,0,No
SELECT NUTRITION UNFI,US,No,No,MANUAL,24,0,0,No
eBay O--,US,No,No,CARD_ON_FILE,3,0,0,No
HARBOR FREIGHT,US,No,No,MANUAL,28,0,0,No
NEW RAGE CYCLES,US,No,No,MANUAL,27,0,0,No
KFC K,US,No,No,CHIP,23,1,1,No
TARGET.COM,US,No,No,CARD_ON_FILE,9,0,0,No
ABT.COM,US,No,No,MANUAL,17,0,0,No
JH MARKET EBAY JH,US,No,No,UNKNOWN,25,0,0,No
BJS WHOLESALE CLUB,US,No,No,UNKNOWN,28,0,0,No
OFFICE DEPOT,US,No,No,UNKNOWN,19,0,0,No
STARBUCKS,US,No,No,UNKNOWN,1,0,0,No
STAMPS.COM  USPOSTAGE,US,No,No,MANUAL,18,0,0,No
BED BATH & BEYOND,US,No,No,MANUAL,2,0,0,No
AMZN Mktp USMOXD,US,No,No,MANUAL,7,0,0,No
QUADPAY VIONIC,US,No,No,UNKNOWN,21,0,0,No
HOMEDEPOT.COM,US,No,No,MANUAL,11,0,0,No
HARRIS TEETER,US,No,No,CHIP,20,1,1,No
CLCOMEWEL.COM,GB,No,No,MANUAL,20,0,0,No
PPLONERGANSKN,US,No,No,MANUAL,4,0,0,No
-ELEVEN,US,No,No,CHIP,3,1,1,No
ZORO TOOLS INC,US,No,No,MANUAL,31,0,0,No
FACEBK CWSLSZEHL,US,No,No,CARD_ON_FILE,6,0,0,No
